Designator,Footprint,Quantity,Value,LCSC Part #
A2,RaspberryPi_Pico_Common_THT_2,1,RaspberryPi_Pico,
C1,C_Radial_D6.3mm_H5.0mm_P2.50mm,1,680uf,
C2,C_Radial_D6.3mm_H5.0mm_P2.50mm,1,220uf,
D1,D_SMC,1,1N5822,
"D2, D3, D4",1206,3,LED,
J1,TerminalBlock_MaiXu_MX126-5.0-08P_1x08_P5.00mm,1,Screw_Terminal_01x08,
J2,RJ9_Evercom_5301-440xxx_Horizontal,1,RJ9,
L1,L_Bourns_SRR1260,1,33 uh,
"R1, R2, R5, R6, R7",1206,5,10k,
"R3, R8, R9",1206,3,220,
R4,1206,1,100,
SW1,SW_SPST_Omron_B3FS-101xP,1,SW_Omron_B3FS,
U1,TO-263-5_TabPin3,1,LM2596S-5,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX485E,
